id;service_name;price;unit;quantity;address
1;Cotton Helena Jewelery;80954;Handmade customized applications;17282;Cambridgeshire Car Regional
2;deposit Pakistan Guarani;86741;Pennsylvania;29243;parsing Corporate redundant
3;Home Costa;69905;application sky Consultant;80952;Handcrafted
4;deliver Universal Product;58165;Computer protocol connect;77814;neural COM
5;Product;78433;protocol;1612;plum niches Gloves
6;deposit Concrete;74479;Shilling Dollar initiatives;69509;Beauty
7;Awesome Cheese;24680;Intuitive initiatives;87794;Designer hack
8;Planner matrices;59146;full-range Garden;56087;port neural
9;eyeballs Plain Berkshire;45772;Incredible;93358;Supervisor
10;Berkshire Intelligent;38256;Avon Borders;63640;Stream
